Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1982-01-07,0.06502236425876617,0.06587863667169093,0.06502236425876617,0.06587863667169093,70044800
1982-01-08,0.06801743060350418,0.06844518143145321,0.06801743060350418,0.06801743060350418,56604800
1982-01-11,0.06373913586139679,0.06416689248906456,0.06373913586139679,0.06416689248906456,33331200
1982-01-12,0.06160037964582443,0.06202813062996778,0.06160037964582443,0.06202813062996778,59920000
1982-01-13,0.06117263436317444,0.061600391138619294,0.06117263436317444,0.061600391138619294,41753600
1982-01-14,0.06416688859462738,0.06459463948484001,0.06416688859462738,0.06416688859462738,25715200
1982-01-15,0.06844517588615417,0.06930068318423342,0.06844517588615417,0.06844517588615417,46704000
1982-01-18,0.06972842663526535,0.0705839337731864,0.06972842663526535,0.06972842663526535,28000000
1982-01-19,0.06801743060350418,0.06887293797089501,0.06801743060350418,0.06887293797089501,55507200
1982-01-20,0.06930070370435715,0.06972846033580281,0.06930070370435715,0.06930070370435715,25827200
1982-01-21,0.07058396190404892,0.07101171278774167,0.07058396190404892,0.07058396190404892,33331200
1982-01-22,0.0710117295384407,0.07143948623452893,0.0710117295384407,0.0710117295384407,24259200
1982-01-25,0.06887292116880417,0.06930067189240005,0.06887292116880417,0.06930067189240005,44710400
1982-01-26,0.06630642712116241,0.06716193463373596,0.06630642712116241,0.06716193463373596,21212800
1982-01-27,0.06673417240381241,0.06758967984436669,0.06673417240381241,0.06673417240381241,31360000
1982-01-28,0.06887292116880417,0.06930067189240005,0.06887292116880417,0.06887292116880417,39603200
1982-01-29,0.06972842663526535,0.07015617734848026,0.06972842663526535,0.06972842663526535,53155200
1982-02-01,0.06887292116880417,0.06972842832748731,0.06887292116880417,0.06972842832748731,38528000
1982-02-02,0.06930070370435715,0.07015621125575447,0.06930070370435715,0.06930070370435715,54275200
1982-02-03,0.06930070370435715,0.06972846033580281,0.06930070370435715,0.06930070370435715,31472000
1982-02-04,0.06758968532085419,0.06801744193153715,0.06758968532085419,0.06801744193153715,22041600
1982-02-05,0.06758968532085419,0.06801744193153715,0.06758968532085419,0.06758968532085419,40297600
1982-02-08,0.0633113831281662,0.06373913403206344,0.0633113831281662,0.06373913403206344,31696000
